operationId,date,operationType,note,totalAmtAccepted,propositions,amount_billions,participants,rate
RP 111224 1,2024-11-12,Reverse Repo,,178814000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 27298000000}, {'counterpartyType': 'mmf', 'amtAccepted': 151516000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4240,99,5.7
RP 111324 1,2024-11-13,Reverse Repo,,238106000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 27442000000}, {'counterpartyType': 'mmf', 'amtAccepted': 210664000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4180,98,5.65
RP 111424 1,2024-11-14,Reverse Repo,,214509000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 31621000000}, {'counterpartyType': 'mmf', 'amtAccepted': 182887000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4470,97,5.6
RP 111524 1,2024-11-15,Reverse Repo,,172400000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 24947000000}, {'counterpartyType': 'mmf', 'amtAccepted': 147453000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4410,96,5.55
RP 111824 1,2024-11-18,Reverse Repo,,200030000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 26065000000}, {'counterpartyType': 'mmf', 'amtAccepted': 169215000000}, {'counterpartyType': 'pd', 'amtAccepted': 4750000000}]",4350,95,5.5
RP 111924 1,2024-11-19,Reverse Repo,,200664000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 24817000000}, {'counterpartyType': 'mmf', 'amtAccepted': 175846000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4290,94,5.45
RP 112024 1,2024-11-20,Reverse Repo,,217793000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 24410000000}, {'counterpartyType': 'mmf', 'amtAccepted': 193382000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4230,93,5.4
RP 112124 1,2024-11-21,Reverse Repo,,188567000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 23233000000}, {'counterpartyType': 'mmf', 'amtAccepted': 165333000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4170,92,5.35
RP 112224 1,2024-11-22,Reverse Repo,,204254000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 37663000000}, {'counterpartyType': 'mmf', 'amtAccepted': 166091000000}, {'counterpartyType': 'pd', 'amtAccepted': 500000000}]",4110,91,5.3
RP 112524 1,2024-11-25,Reverse Repo,,186749000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 26634000000}, {'counterpartyType': 'mmf', 'amtAccepted': 160113000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]",4400,90,5.25
RP 112624 1,2024-11-26,Reverse Repo,,148823000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 19935000000}, {'counterpartyType': 'mmf', 'amtAccepted': 128888000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4340,89,5.7
RP 112724 1,2024-11-27,Reverse Repo,,169815000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 20120000000}, {'counterpartyType': 'mmf', 'amtAccepted': 149695000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4280,88,5.65
RP 112924 1,2024-11-29,Reverse Repo,,197627000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 27894000000}, {'counterpartyType': 'mmf', 'amtAccepted': 169733000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4220,87,5.6
RP 120224 1,2024-12-02,Reverse Repo,,135858000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 24363000000}, {'counterpartyType': 'mmf', 'amtAccepted': 111495000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4160,86,5.55
RP 120324 1,2024-12-03,Reverse Repo,,161572000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 26013000000}, {'counterpartyType': 'mmf', 'amtAccepted': 135558000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4100,85,5.5
RP 120424 1,2024-12-04,Reverse Repo,,162866000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 24590000000}, {'counterpartyType': 'mmf', 'amtAccepted': 138276000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4040,84,5.45
RP 120524 1,2024-12-05,Reverse Repo,,131964000000,"[{'counterpartyType': 'bank', 'amtAccepted': 2000000}, {'counterpartyType': 'gse', 'amtAccepted': 21419000000}, {'counterpartyType': 'mmf', 'amtAccepted': 110543000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4330,83,5.4
RP 120624 1,2024-12-06,Reverse Repo,,130014000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 18641000000}, {'counterpartyType': 'mmf', 'amtAccepted': 111373000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4270,82,5.35
RP 120924 1,2024-12-09,Reverse Repo,,153029000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 19271000000}, {'counterpartyType': 'mmf', 'amtAccepted': 133758000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4210,81,5.3
RP 121024 1,2024-12-10,Reverse Repo,,174842000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 16721000000}, {'counterpartyType': 'mmf', 'amtAccepted': 158121000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4150,80,5.25
RP 121124 1,2024-12-11,Reverse Repo,,180120000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 16436000000}, {'counterpartyType': 'mmf', 'amtAccepted': 163683000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4090,99,5.7
RP 121224 1,2024-12-12,Reverse Repo,,165025000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 16867000000}, {'counterpartyType': 'mmf', 'amtAccepted': 148158000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4030,98,5.65
RP 121324 1,2024-12-13,Reverse Repo,,135777000000,"[{'counterpartyType': 'bank', 'amtAccepted': 2000000}, {'counterpartyType': 'gse', 'amtAccepted': 16176000000}, {'counterpartyType': 'mmf', 'amtAccepted': 119599000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3970,97,5.6
RP 121624 1,2024-12-16,Reverse Repo,,110753000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 16709000000}, {'counterpartyType': 'mmf', 'amtAccepted': 94044000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4260,96,5.55
RP 121724 1,2024-12-17,Reverse Repo,,118093000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 16259000000}, {'counterpartyType': 'mmf', 'amtAccepted': 101832000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]",4200,95,5.5
RP 121824 1,2024-12-18,Reverse Repo,,131651000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 14293000000}, {'counterpartyType': 'mmf', 'amtAccepted': 117358000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4140,94,5.45
RP 121924 1,2024-12-19,Reverse Repo,,112417000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 14206000000}, {'counterpartyType': 'mmf', 'amtAccepted': 98211000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4080,93,5.4
RP 122024 1,2024-12-20,Reverse Repo,,98356000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 14826000000}, {'counterpartyType': 'mmf', 'amtAccepted': 83230000000}, {'counterpartyType': 'pd', 'amtAccepted': 300000000}]",4020,92,5.35
RP 122324 1,2024-12-23,Reverse Repo,,116004000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 15642000000}, {'counterpartyType': 'mmf', 'amtAccepted': 100362000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3960,91,5.3
RP 122424 1,2024-12-24,Reverse Repo,,180989000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 16496000000}, {'counterpartyType': 'mmf', 'amtAccepted': 164493000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3900,90,5.25
RP 122624 1,2024-12-26,Reverse Repo,,196818000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 17411000000}, {'counterpartyType': 'mmf', 'amtAccepted': 179407000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4190,89,5.7
RP 122724 1,2024-12-27,Reverse Repo,,268739000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 23440000000}, {'counterpartyType': 'mmf', 'amtAccepted': 245299000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4130,88,5.65
RP 123024 2,2024-12-30,Reverse Repo,,260743000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000000}, {'counterpartyType': 'gse', 'amtAccepted': 26835000000}, {'counterpartyType': 'mmf', 'amtAccepted': 232908000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4070,87,5.6
RP 123124 2,2024-12-31,Reverse Repo,,473460000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 91026000000}, {'counterpartyType': 'mmf', 'amtAccepted': 382434000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4010,86,5.55
RP 010225 2,2025-01-02,Reverse Repo,,239858000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 29713000000}, {'counterpartyType': 'mmf', 'amtAccepted': 210145000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3950,85,5.5
RP 010325 2,2025-01-03,Reverse Repo,,237377000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 16479000000}, {'counterpartyType': 'mmf', 'amtAccepted': 220898000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3890,84,5.45
RP 010625 1,2025-01-06,Reverse Repo,,231926000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 13485000000}, {'counterpartyType': 'mmf', 'amtAccepted': 218441000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3830,83,5.4
RP 010725 1,2025-01-07,Reverse Repo,,208296000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 14526000000}, {'counterpartyType': 'mmf', 'amtAccepted': 193770000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4120,82,5.35
RP 010825 1,2025-01-08,Reverse Repo,,185144000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 15422000000}, {'counterpartyType': 'mmf', 'amtAccepted': 169722000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4060,81,5.3
RP 010925 1,2025-01-09,Reverse Repo,,168225000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 15406000000}, {'counterpartyType': 'mmf', 'amtAccepted': 152819000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4000,80,5.25
RP 011025 1,2025-01-10,Reverse Repo,,178800000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 13759000000}, {'counterpartyType': 'mmf', 'amtAccepted': 165041000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3940,99,5.7
RP 011325 1,2025-01-13,Reverse Repo,,183669000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 16390000000}, {'counterpartyType': 'mmf', 'amtAccepted': 167277000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]",3880,98,5.65
RP 011425 1,2025-01-14,Reverse Repo,,160219000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 15635000000}, {'counterpartyType': 'mmf', 'amtAccepted': 144584000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3820,97,5.6
RP 011525 1,2025-01-15,Reverse Repo,,119977000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 12921000000}, {'counterpartyType': 'mmf', 'amtAccepted': 107055000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3760,96,5.55
RP 011625 1,2025-01-16,Reverse Repo,,94489000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 14821000000}, {'counterpartyType': 'mmf', 'amtAccepted': 79667000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",4050,95,5.5
RP 011725 1,2025-01-17,Reverse Repo,,118327000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 14252000000}, {'counterpartyType': 'mmf', 'amtAccepted': 104075000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3990,94,5.45
RP 012125 1,2025-01-21,Reverse Repo,,96015000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 15077000000}, {'counterpartyType': 'mmf', 'amtAccepted': 80938000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3930,93,5.4
RP 012225 1,2025-01-22,Reverse Repo,,123981000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 14452000000}, {'counterpartyType': 'mmf', 'amtAccepted': 109529000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3870,92,5.35
RP 012325 1,2025-01-23,Reverse Repo,,132031000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 14257000000}, {'counterpartyType': 'mmf', 'amtAccepted': 117774000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3810,91,5.3
RP 012425 27,2025-01-24,Reverse Repo,This operation is a Small Value Exercise (SVE); the daily ON RRP operation will still take place at its regularly scheduled time (12:45pm ET). ,95000000,"[{'counterpartyType': 'bank', 'amtAccepted': 10000000}, {'counterpartyType': 'gse', 'amtAccepted': 11000000}, {'counterpartyType': 'mmf', 'amtAccepted': 53000000}, {'counterpartyType': 'pd', 'amtAccepted': 21000000}]",3750,90,5.25
RP 012425 3,2025-01-24,Reverse Repo,,104877000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 12954000000}, {'counterpartyType': 'mmf', 'amtAccepted': 91923000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3690,89,5.7
RP 012725 1,2025-01-27,Reverse Repo,,92863000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 13580000000}, {'counterpartyType': 'mmf', 'amtAccepted': 79283000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3980,88,5.65
RP 012825 1,2025-01-28,Reverse Repo,,112760000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 12240000000}, {'counterpartyType': 'mmf', 'amtAccepted': 100520000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3920,87,5.6
RP 012925 1,2025-01-29,Reverse Repo,,121842000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 9688000000}, {'counterpartyType': 'mmf', 'amtAccepted': 112154000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3860,86,5.55
RP 013025 1,2025-01-30,Reverse Repo,,125965000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 6047000000}, {'counterpartyType': 'mmf', 'amtAccepted': 119918000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3800,85,5.5
RP 013125 1,2025-01-31,Reverse Repo,,187913000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 39826000000}, {'counterpartyType': 'mmf', 'amtAccepted': 148087000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3740,84,5.45
RP 020325 1,2025-02-03,Reverse Repo,,97781000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 10424000000}, {'counterpartyType': 'mmf', 'amtAccepted': 87357000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3680,83,5.4
RP 020425 1,2025-02-04,Reverse Repo,,85654000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 9871000000}, {'counterpartyType': 'mmf', 'amtAccepted': 75783000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3620,82,5.35
RP 020525 1,2025-02-05,Reverse Repo,,78788000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 8925000000}, {'counterpartyType': 'mmf', 'amtAccepted': 69863000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3910,81,5.3
RP 020625 1,2025-02-06,Reverse Repo,,79983000000,"[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 7615000000}, {'counterpartyType': 'mmf', 'amtAccepted': 72367000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3850,80,5.25
RP 020725 1,2025-02-07,Reverse Repo,,95248000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 10235000000}, {'counterpartyType': 'mmf', 'amtAccepted': 85013000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3790,99,5.7
RP 021025 1,2025-02-10,Reverse Repo,,99653000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 8005000000}, {'counterpartyType': 'mmf', 'amtAccepted': 91648000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3730,98,5.65
RP 021125 1,2025-02-11,Reverse Repo,,76446000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 8625000000}, {'counterpartyType': 'mmf', 'amtAccepted': 67821000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3670,97,5.6
RP 021225 1,2025-02-12,Reverse Repo,,67670000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 7225000000}, {'counterpartyType': 'mmf', 'amtAccepted': 60445000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3610,96,5.55
RP 021325 1,2025-02-13,Reverse Repo,,67820000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 6450000000}, {'counterpartyType': 'mmf', 'amtAccepted': 61370000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3550,95,5.5
RP 021425 1,2025-02-14,Reverse Repo,,58770000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 5125000000}, {'counterpartyType': 'mmf', 'amtAccepted': 53645000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3840,94,5.45
RP 021825 1,2025-02-18,Reverse Repo,,77817000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 8900000000}, {'counterpartyType': 'mmf', 'amtAccepted': 68917000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3780,93,5.4
RP 021925 1,2025-02-19,Reverse Repo,,73196000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 8305000000}, {'counterpartyType': 'mmf', 'amtAccepted': 64891000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3720,92,5.35
RP 022025 1,2025-02-20,Reverse Repo,,63207000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 8050000000}, {'counterpartyType': 'mmf', 'amtAccepted': 55157000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3660,91,5.3
RP 022125 1,2025-02-21,Reverse Repo,,68983000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 7950000000}, {'counterpartyType': 'mmf', 'amtAccepted': 61033000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3600,90,5.25
RP 022425 1,2025-02-24,Reverse Repo,,76818000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 7425000000}, {'counterpartyType': 'mmf', 'amtAccepted': 69393000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3540,89,5.7
RP 022525 1,2025-02-25,Reverse Repo,,96000000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 8050000000}, {'counterpartyType': 'mmf', 'amtAccepted': 87950000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3480,88,5.65
RP 022625 1,2025-02-26,Reverse Repo,,126058000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 9751000000}, {'counterpartyType': 'mmf', 'amtAccepted': 116307000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3770,87,5.6
RP 022725 99,2025-02-27,Reverse Repo,This is a small value exercise for operational readiness testing. The regular ON RRP operation will still take place at its regularly scheduled time (12:45 PM ET),104000000,"[{'counterpartyType': 'bank', 'amtAccepted': 11000000}, {'counterpartyType': 'gse', 'amtAccepted': 10000000}, {'counterpartyType': 'mmf', 'amtAccepted': 59000000}, {'counterpartyType': 'pd', 'amtAccepted': 24000000}]",3710,86,5.55
RP 022725 1,2025-02-27,Reverse Repo,,182044000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 9875000000}, {'counterpartyType': 'mmf', 'amtAccepted': 172169000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3650,85,5.5
RP 022825 1,2025-02-28,Reverse Repo,,234422000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 33025000000}, {'counterpartyType': 'mmf', 'amtAccepted': 201397000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3590,84,5.45
RP 030325 1,2025-03-03,Reverse Repo,,119987000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 9350000000}, {'counterpartyType': 'mmf', 'amtAccepted': 110637000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3530,83,5.4
RP 030425 1,2025-03-04,Reverse Repo,,135257000000,"[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 10275000000}, {'counterpartyType': 'mmf', 'amtAccepted': 124982000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",3470,82,5.35
